SID;lat;lon;elev;name
4200000773;57.0112;10.0392;5;---
4200000776;44.5049;11.3695;37;---
4200000777;51.830285;-0.355371;98;---
4200000778;52.3929;4.6483;1;---
4200000780;52.2416;0.5836;79;---
4200000782;52.278184;-0.596442;78;---
4200000783;52.0232;0.7206;54;---
4200000784;53.062;6.079;1;---
4200000785;51.143149;0.893593;59;---
4200000787;53.542115;-2.150636;144;---
4200000789;52.434141;1.334839;18;---
4200000790;52.795911;0.044203;1;---
4200000792;56.644955;16.463774;;---
4200000795;53.740253;-0.390957;1;---
4200000796;51.2109;-0.8054;76;---
4200000797;50.836191;6.071835;169;---
4200000799;38.7414;0.0969;190;---
4200000802;50.75263;-3.276177;76;---
4200000803;45.95728;14.64805;318;---
4200000804;50.4496;-3.5828;46;---
4200000805;41.818376;2.889705;133;---
4200000806;50.7279;-1.9122;3;---
4200000807;53.772652;-2.792483;17;---
4200000808;51.551342;-1.652545;149;---
4200000809;50.9132;-3.5051;76;---
4200000811;53.081781;-2.457204;40;---
4200000812;52.246196;0.753593;63;---
4200000814;54.827992;-1.325687;4;---
4200000817;53.747967;-1.371619;44;---
4200000818;51.8074;0.1224;69;---
4200000819;52.121;-2.305;69;---
4200000820;50.9565;-0.1364;48;---
4200000821;50.7442;-3.3038;61;---
4200000823;48.1513;7.1699;552;---
4200000824;51.3845;-0.0721;69;---
4200000825;51.260578;3.580151;1;---
4200000828;51.352246;-0.774139;77;---
4200000830;36.754178;-5.170387;760;---
4200000832;48.5985;2.064;108;---
4200000833;60.1468;24.7555;;---
4200000834;52.1508;4.6628;-5;---
4200000835;53.974464;-2.136963;145;---
4200000837;57.336662;-3.542353;208;---
4200000838;47.9525;9.3814;624;---
4200000839;50.936377;-0.179558;58;---
4200000840;50.720998;-3.490444;31;---
4200000843;54.2065;-5.9997;245;---
4200000844;52.1653576872914;21.0234132385253;86;---
4200000845;56.009395;-3.686471;9;---
4200000846;56.885912;-2.552898;150;---
4200000847;51.20875;0.12838;65;---
4200000848;53.826875;-1.148243;11;---
4200000849;58.312615;-4.915415;111;---
4200000850;52.025696;-3.187301;138;---
4200000852;56.6333;14.2167;132;---
4200000853;50.953342;-3.43872;178;---
4200000854;51.761147;-1.263556;62;---
4200000855;57.3601;12.1469;61;---
4200000856;50.864217;-3.805788;87;---
4200000857;58.016721;-5.344749;37;---
4200000858;52.674297;-2.891024;88;---
4200000859;52.723641;-2.840829;76;---
4200000860;53.098895;-1.588004;271;---
4200000861;51.0967;3.8517;3;---
4200000862;44.116667;9.833333;27;---
4200000863;56.13737;-3.774422;18;---
4200000865;55.6053;-2.4601;62;---
4200000866;54.4534;-6.0766;133;---
4200000867;57.133258;-3.667202;599;---
4200000868;54.591528;-7.287531;78;---
4200000870;57.031208;-2.403154;132;---
4200000871;55.153127;-1.956174;147;---
4200000875;54.9351;-2.7348;84;---
4200000877;56.04901;-4.566193;76;---
4200000881;52.4973;6.6465;14;---
4200000882;45.7387;4.6648;389;---
4200000883;51.203889;3.804167;3;---
4200000884;60.797193;21.407826;9;---
4200000886;37.8903424;-4.77449139999999;107;---
4200000887;55.013304;-3.999662;140;---
4200000888;51.6031;-1.1133;68;---
4200000889;54.5318;-1.0837;137;---
4200000890;51.711315;-3.832362;128;---
4200000891;51.431136;-2.114267;70;---
4200000892;55.603566;-3.323579;312;---
4200000894;56.2994255;-3.2005619;71;---
4200000895;56.0281;-4.9849;63;---
4200000896;57.102;-2.8102;144;---
4200000897;45.475;3.7809;761;---
4200000899;54.013147;-2.776108;74;---
4200000901;55.885888;-3.547365;125;---
4200000902;51.70949;-1.995003;138;---
4200000904;50.950988;-2.186053;150;---
4200000906;54.4397;18.5501;31;---
4200000908;52.7166640996173;6.92236184835429;19;---
4200000910;58.5699;16.1562;46;---
4200000911;54.551741;-5.8956;127;---
4200000912;56.21457;-3.41121;128;---
4200000913;54.4279;-1.219;127;---
4200000915;55.922287;-2.648963;204;---
4200000916;52.6117;1.482639;5;---
4200000918;51.427183;-0.850657;65;---
4200000919;50.741417;-3.497226;67;---
4200000920;50.9400799;-2.8591112;55;---
4200000921;54.559752;-5.94475;18;---
4200000923;42.584339;-6.645567;509;---
4200000924;53.2915;5.9778;1;---
4200000925;53.2579;-1.9139;313;---
4200000926;51.591614;5.5333124;10;---
4200000927;57.157658;-2.556553;189;---
4200000929;51.667818;-4.708414;;---
4200000931;57.524267;-3.926612;77;---
4200000933;51.9049;-2.3103;62;---
4200000935;52.583919;0.345898;9;---
4200000936;53.4183;-1.4884;99;---
4200000937;52.1372;4.4425;-1;---
4200000942;56.1827;-3.9695;75;---
4200000946;53.0648;5.5389;-1;---
4200000947;50.5904;-1.2835;3;---
4200000952;52.008512;4.753007;-1;---
4200000953;53.5939;-6.6748;52;---
4200000956;52.126142749552;-1.40185521083686;152;---
4200000957;55.9177;-3.2076;131;---
4200000958;50.544605;-3.494074;;---
4200000959;50.981575;-1.724405;78;---
4200000960;51.275364;-1.993341;133;---
4200000961;44.3691001312352;9.1114134232788;155;---
4200000962;55.541956;-2.909276;185;---
4200000963;52.325695;-3.140639;304;---
4200000965;50.1371;14.1598;345;---
4200000966;54.448764;-7.904051;128;---
4200000967;56.718418;-3.767743;186;---
4200000968;52.1939;0.1295;39;---
4200000969;53.522104;-0.067636;5;---
4200000971;50.5166;-3.8423;174;---
4200000973;50.5175149;-3.626267;70;---
4200000975;56.456396;-3.06939;;---
4200000976;50.215866;-5.185065;139;---
4200000977;53.9431;-8.9521;63;---
4200000978;51.809875;-0.792217;112;---
4200000979;52.4498;1.578902;8;---
4200000980;51.228548;6.904723;70;---
4200000982;32.6782111933331;-16.9449470890327;600;---
4200000986;50.9867423261367;3.58902513742441;10;---
4200000987;52.0228;5.6407;12;---
4200000988;50.6463058;-4.75543489999995;91;---
4200000991;52.363891;-3.473428;305;---
4200000993;50.2361;14.1474;274;---
4200000994;56.063815;-4.47391;66;---
4200000997;50.604541;-3.604053;76;---
4200000998;51.2805;4.4208;3;---
4200000999;52.751159;-1.960026;121;---
4200001000;52.3455607;6.47191210000005;10;---
4200001001;53.668;-2.9736;3;---
4200001002;52.725;-2.1093;96;---
4200001003;52.1;5.18;2;---
4200001006;50.832;-0.361;23;---
4200001008;52.643571;1.236455;10;---
4200001009;39.462215;-8.200436;160;---
4200001013;52.1643426707051;4.34937116416017;;---
4200001014;50.917882;-2.77228;55;---
4200001016;58.4285;15.692;47;---
4200001017;51.528904;0.466616;24;---
4200001018;50.9821;-1.403074;27;---
4200001024;53.496259;-0.670927;19;---
4200001025;48.6977;2.1985;103;---
4200001026;53.9616;-8.7915;76;---
4200001028;53.726408;-1.574539;97;---
4200001030;51.5295;-0.9784;100;---
4200001031;54.630524;-2.718441;159;---
