;rowid;Site Id;longitude;latitude;IsWithin;CountryId;geometry;elevation;UTC_TimeZone;UTC_OffsetHours;HARP_SID_int
95;137;08ffa611-353a-ea11-8454-0003ff59ab13;14.3759;50.0732;True;CZ;POINT (14.3759 50.0732);241.0;Europe/Prague;+01:00;4200000137
96;140;0967297a-5fc5-e711-9403-0003ff59821b;6.8954;52.4064;True;NL;POINT (6.8954 52.4064);28.0;Europe/Amsterdam;+01:00;4200000140
97;141;097175bc-2673-e811-9ccb-0003ff59b2da;6.82734979629515;52.282474209693;True;NL;POINT (6.82734979629515 52.282474209693);22.0;Europe/Amsterdam;+01:00;4200000141
98;142;09968d01-8235-e811-bbd5-0003ff5993c1;0.830476698964503;52.1723501446222;True;UK;POINT (0.830476698964503 52.1723501446222);77.0;Europe/London;+00:00;4200000142
99;143;09b9220e-4326-e911-9461-0003ff596eab;0.1918;51.2788;True;UK;POINT (0.1918 51.2788);113.0;Europe/London;+00:00;4200000143
100;145;09d79e46-b228-eb11-8441-0003ff59786b;12.7457;49.9709;True;CZ;POINT (12.7457 49.9709);738.0;Europe/Prague;+01:00;4200000145
101;147;0a1ab8b4-f841-e611-9401-0003ff5987fd;1.2053;52.9308;True;UK;POINT (1.2053 52.9308);81.0;Europe/London;+00:00;4200000147
102;148;0a1d50c0-dddd-e911-b3b9-0003ff59a783;6.1749;52.6834;True;NL;POINT (6.1749 52.6834);1.0;Europe/Amsterdam;+01:00;4200000148
103;149;0a1fe38b-66f2-e911-b862-0003ff59ab13;7.0298;50.8345;True;DE;POINT (7.0298 50.8345);53.0;Europe/Berlin;+01:00;4200000149
104;153;0a4b4554-68fd-ea11-b5d9-0003ff599498;5.3023;49.8343;True;BE;POINT (5.3023 49.8343);411.0;Europe/Brussels;+01:00;4200000153
105;154;0a6ca9a0-4fd9-e911-b3b9-0003ff59a783;3.814217;51.19893;True;BE;POINT (3.814217 51.19893);3.0;Europe/Brussels;+01:00;4200000154
106;155;0a712e54-c0c8-ea11-bf21-0003ff59a78c;7.8461;49.5637;True;DE;POINT (7.8461 49.5637);263.0;Europe/Berlin;+01:00;4200000155
107;156;0a76d720-e4fe-e811-9461-0003ff59aed0;-1.7193;54.407;True;UK;POINT (-1.7193 54.407);126.0;Europe/London;+00:00;4200000156
108;157;0a834203-51e6-e611-93ff-000d3ab1ce94;-0.3705;51.5255;True;UK;POINT (-0.3705 51.5255);34.0;Europe/London;+00:00;4200000157
109;158;0a8e126c-e4c6-e611-9400-0003ff59aed0;-4.08116808542985;52.2229349459148;True;UK;POINT (-4.08116808542985 52.2229349459148);186.0;Europe/London;+00:00;4200000158
110;159;0a9be438-45f0-ea11-b5d9-0003ff599498;4.8305;52.0774;True;NL;POINT (4.8305 52.0774);1.0;Europe/Amsterdam;+01:00;4200000159
